"","","cIfeQ515","t2lzh918","5KTmnC80","8bWxTQTP","MrF79raA","I94q8zpE","vqHfQURj","IEugXXTw","B89","0U9","aMQ","IES","EM3","DYP","r5M","4zB","unU","wfm","nEo","xov","24a"
"ID","Name","Author Firstname","Author Surname","ISBN","Image URL Large","Image URL Thumb","Number of Pages","Soundcloud Track ID","Synopsis","Easy to Read_Challenging","Fantasy_Reality","Funny_Serious","Historical_Futuristic","Less Action_More Action","Australian","Has audio review","Long","Medium","Series","Series lead","Short","VPRC"
"w3kQMFdm","Geronimo Stilton #8: Play It Again, Mozart!","Geronimo","Stilton","9781597072762","","http://cdn.bookfish.net.au/covers/9781597072762/small.jpg","56","","The Pirate Cats have traveled back to Milan, Italy in the year 1770, in order to steal one of the most important musical works in history: a symphony composed by a young Wolfgang Amadeus Mozart! It's up to Geronimo and his friends to go back in time and stop the Pirate Cats from their dastardly deed!","8","8","8","9","13","0","0","0","0","1","0","1","0"
"8pN44RMJ","Geronimo Stilton #9: The Weird Book Machine","Geronimo","Stilton","9781597072953","","http://cdn.bookfish.net.au/covers/9781597072953/small.jpg","56","","The Pirate Cats, led by Tersilla of Catatonia, are hitting Geronimo Stilton where he lives! They have traveled back in time in order to steal Johannes Gutenberg's original printing press! What mad scheme do the Pirate Cats have for the Purr-loined presses? Geronimo Stilton and his friends intend to find out when they travel to the city of Mainz, Germany in the year 1455 to stop the Pirate Cats from tampering with history!","8","6","9","9","14","0","0","0","0","1","0","1","1"
"UYJEAYbb","Geronimo Stilton Graphic Novel 1: The Discovery of America","Geronimo","Stilton","9781597071581","","http://cdn.bookfish.net.au/covers/9781597071581/small.jpg","56","","The popular children's story appears in graphic novel form for the first time in the U.S., with stories never seen in America. Geronimo Stilton is a talking mouse who lives in New Mouse City on Mouse Island with his friends and relatives. He works at The Rodent's Gazette, the most famous newspaper in New Mouse City. In this series of comics, Geronimo Stilton travels through time in order to defend history from his arch nemeses, the Pirate Cats. These devious felines plan to travelback in time in order to change history to make them supreme rulers of Mouse Island! In his first time-traveling adventure, Geronimo and co. join Christopher Columbus on his voyage from Italy to America in 1492 in order to stop the Pirate cats and save all of the mice on Mouse Island.","7","5","8","9","16","0","0","0","0","1","0","1","1"
"8MVwJdbQ","Geronimo Stilton saves the Olympics","Geronimo.","Stilton","9781597073196","","http://cdn.bookfish.net.au/covers/9781597073196/small.jpg","56","","Athens, Greece: the first Olympic Games are about to take place, and the Pirate Cats have traveled back in time to enter the competition. The fiendish felines plan to win as many events as they can, and become legendary athletes. But these cats aren't exactly in playing shape! In order to gain an edge, they bring all sorts of modern-age sports gear to improve their odds of winning. It's up to Geronimo and the gang to foil their scheme and save history.

","7","8","8","10","18","0","0","0","0","1","0","1","1"
"TgVHrXhv","Geronimo and the Gold Medal Mystery","Geronimo.","Stilton","9780545021333","","http://cdn.bookfish.net.au/covers/9780545021333/small.jpg","128","","Enter the world of Geronimo Stilton, where another funny adventure is always right around the corner. Each book is a fast-paced adventure with lively art and a unique format kids 7-10 will love.  

   

   

 I, Geronimo Stilton, am not a sportsmouse. Running? Sweating? Not for me. I prefer relaxing in an armchair with a nice bowl of chocolate cheesy chews. But with the Olympics coming up, sports were all anyone in New Mouse City could talk about. Rat-munching rattlesnakes!","8","6","8","10","15","0","0","0","1","1","0","0","1"
"l0ZvLoyR","Geronimo's Valentine (Geronimo Stilton, No. 36)","Geronimo","Stilton","9780545021364","","http://cdn.bookfish.net.au/covers/9780545021364/small.jpg","128","","Enter the world of Geronimo Stilton, where another funny adventure is always right around the corner. Each book is a fast-paced adventure with lively art and a unique format kids 7-10 will love.  

   

   

 Okay, I'll admit it: I'm a bit of a cheesy mouse from time to time. What can I say? I'm a romantic! That's why Valentine's Day is one of my favorite holidays. This year I had a date with a very special rodent-- Petunia Pretty Paws! But then I got a call from my private investigator friend Hercule Poirat. He had a mystery to solve, and he desperately needed my help. The most beloved, romantic, and famous painting in New Mouse City had been stolen! Now I had to help Hercule AND impress Petunia at the same time. Holey swiss cheese, what was a gentlemouse to do?","7","8","8","10","15","0","0","0","1","1","0","0","1"
"ppOVim4d","Get Me Out of Here!","James","Patterson; Chris Tebbetts; Laura Park (Illustrator)","9780099567530","","http://cdn.bookfish.net.au/covers/9780099567530/small.jpg","288","","After sixth grade, the very worst year of his life, Rafe Khatchadorian thinks he has it made in seventh grade. He's been accepted to art school in the big city and imagines a math-and-history-free fun zone. Wrong! It's more competitive than Rafe ever expected, and to score big in class, he needs to find a way to turn his boring life into the inspiration for a work of art. His method? Operation: Get a Life! Anything he's never done before, he's going to do it, from learning to play poker to going to a modern art museum. But when his newest mission uncovers secrets about the family Rafe's never known, he has to decide if he's ready to have his world turned upside down. James Patterson's winning follow-up to Sunday Times top ten bestseller Middle School, The Worst Years of My Life is another riotous and heart-warming story about living large and includes over 100 brilliant illustrations.","10","15","5","10","9","0","0","1","0","1","0","0","1"
"hzKIRC0D","Get into Gear, Stilton","Geronimo","Stilton","9780545481946","","http://cdn.bookfish.net.au/covers/9780545481946/small.jpg","128","","**More than 24 million Geronimo Stilton books in print!**

I, Geronimo Stilton, was selected by the mayor to give a driving demonstration, but my drivers' license had expired! I had only seven days to relearn everything to pass the test for a new one. Little did I know that during this process I'd come across something truly unique -- a talking carrobot! It was up to us to stop a thief and make the roads safer for everyone.","8","9","8","10","14","0","0","0","1","1","0","0","1"
"iV0zbUzc","Ghost Goblins","David","Melling","9780340930526","","http://cdn.bookfish.net.au/covers/9780340930526/small.jpg","144","","The land of the goblins is hidden, but not so far away. If you look carefully, you might just find it ...  

   

   

 Drysniff, Sludge and Gusset have been squashed by a pig and turned into ghosts. They've been given a fine new home, but there's just one problem: the Windy Nibblers are living there already. Sounds like the only answer is a haunting competition. May the scariest ghosts win!

","8","4","6","7","11","0","0","0","1","1","1","0","0"
"FXUplcZZ","Ghost Pirate Treasure","Geronimo.","Stilton","9780545307444","","http://cdn.bookfish.net.au/covers/9780545307444/small.jpg","128","","Breakout star Creepella von Cacklefur is back in another fur-raising adventure!  

   

   

 Oh, no! Billy Squeakspeare has a big problem, and he needs Creepella's help. Someone's been digging holes around Squeakspeare Mansion at night, and Billy wants to find out who it is. The dangerous, legendary pirate Morgan Darkwhisker is said to have buried his long-lost treasure near Squeakspeare Mansion years ago -- could he be hunting for his hidden riches? It's up to Billy and Creepella to find the treasure first!","7","8","9","9","15","0","0","0","1","1","0","0","1"
"wIo0pYd4","Giants, Trolls, Witches, Beasts : Ten Tales from the Deep, Dark Woods","Craif","Phillips","9781760113261","http://cdn.bookfish.net.au/covers/9781760113261/default.jpg","http://cdn.bookfish.net.au/covers/9781760113261/small.jpg","183","","From Poland to Iceland, Japan to Germany, these ten fairytales from across the globe re-told as comics will have you enthralled. Giants! Trolls! Witches! Beasts! A cobbler girl tricks the Wawel Dragon, after all the king's knights fail..., The Polar Bear King loses his skin..., Momotaro, born from a peach, defies the ogres everyone else is too scared to face..., Snow White and Rose Red make friends with a bear... You will encounter them all in this visual cornucopia of a book.
","8","1","20","5","4","1","0","1","0","1","0","0","1"
"Ib8bAHUv","Gibblewort the Goblin","Victor","Kelleher; Stephen Michael King (Illustrator)","174166005X","","http://cdn.bookfish.net.au/covers/174166005X/small.jpg","224",""," 

 



Gibblewort is a nasty little goblin who loves playing horrible tricks on his friends and snacking on mothballs. But when he decides to mail himself to Australia for some sun, things begin to go very wrong. From being cuddled by an octopus at the bottom of the Great Barrier Reef to being nearly run over by city traffic, trouble follows Gibblewort wherever he goes! This hilarious collection features three of Gibblewort's most memorable adventures: Goblin in the Bush, Goblin on the Reef, and Goblin in the City.



 

 ","5","3","6","10","12","1","0","1","0","0","0","0","1"
"bqwZGx3c","Ginger Snaps","Cathy","Cassidy","9780141338927","","http://cdn.bookfish.net.au/covers/9780141338927/small.jpg","266","","'You can make a wish come true, if you're determined . . .'Gone are the days when Ginger was an outsider, always on the fringes of friendship. She's swapped puppy fat and pigtails for make-up and hair straighteners and never looked back - until now. Ginger and Shannon are best mates, but when they befriend lonely Emily, everything changes. Even the saxophone-playing boy in the trilby hat can't help - he's part of the problem. Are Ginger and Shannon drifting apart or can they stay best friends forever?

","16","20","16","10","8","0","0","1","0","0","0","0","1"
"HpSSi04o","Girl pirates","Shey.","Kettle","9780732998813","","http://cdn.bookfish.net.au/covers/9780732998813/small.jpg","44","","""Mai and Carly are sailing the high seas in Carlys backyard. As these girl pirates prepare to attack the Boogie Boy pirates next door, the sweet smell of victory seems close, but then Carlys mum finds her empty perfume bottle.Download cover image

","5","11","8","9","13","1","0","0","0","1","0","1","1"
"1j76nYfB","Girl's Best Friend","Leslie","Margolis","9781599906904","","http://cdn.bookfish.net.au/covers/9781599906904/small.jpg","192","","At the end there is only darkness. With the final countdown now only days away, Sam and Eva must brave the dangers of Antarctica to find Alex, the twelfth Dreamer and Gear. An impossible, amazing discovery underneath the ice will bring them all closer to the end of the race, but with betrayal on every side, how can they make it out of there alive? Sam must unite the last 13. Time is running out.","5","10","10","15","10","0","0","1","0","1","0","0","1"
"RAaP4xY7","Girlz Rock 01: Hair Scare","Holly","Smith. Dinbergs","9780732998790","","http://cdn.bookfish.net.au/covers/9780732998790/small.jpg","44","","What better way for Jess and Sophie to fill in a boring Saturday than to get into each others hair. But Sophies well-oiled locks fill the girls with dread and Jesss not-so-stylish hair style really adds some colour

","4","20","6","9","11","1","0","0","0","1","1","1","1"
"SgPFjVEu","Girlz Rock 02: Diary Disaster","Holly.","Smith Dinbergs","9780732998783","","http://cdn.bookfish.net.au/covers/9780732998783/small.jpg","44","","""Sophie has a real drama on her hands and she needs Jesss help. Someones been reading Sophies diaryher brother, she suspectsand she wants to catch him red-handed. So the girls hatch a plan with purr-fect resultsDownload cover image

","2","19","11","10","12","1","0","0","0","1","0","1","1"
"0k3trLBk","Girlz Rock 05: Bowling Buddies","Holly","Smith. Dinbergs","9780732998776","","http://cdn.bookfish.net.au/covers/9780732998776/small.jpg","44","","""Ellie and Rachel are set up at the local bowling alley, complete with shoes, balls and iced tea. But pretty soon the girls realise theyre not alone as the local bully boys and Rockos girlfriend join in the game. Download cover image

","4","20","5","10","10","1","0","0","0","1","1","1","1"
"x6eyeSsc","Girlz Rock 19: Mummy Mania","Holly","Smith. Dinbergs","9781420204544","","http://cdn.bookfish.net.au/covers/9781420204544/small.jpg","48","","""Jules and Rosa are exploring the museum. They discover Modern Art and ancient Egyptian relics, but the most unexpected sighting is of their favourite singer or so they thinkDownload cover image

","3","10","11","9","14","0","0","0","0","1","0","1","1"
"uYL4ttpj","Girlz Rock 21: Birthday Party Trouble","Jacqueline","Arena; Lloyd Foye (Illustrator); Macmillan General Reference Staff","9781420261462","","http://cdn.bookfish.net.au/covers/9781420261462/small.jpg","48","","""Rachel is planning party games for her little cousins birthday and talks Ellie into helping her. One disaster follows another, especially when Rachels brother adds to the bedlam. Rachels mother is definitely not happy

","4","15","9","10","12","1","0","0","0","1","1","1","1"
"4Vb8JfYh","Girlz Rock 27: Trapeze Dreams","Holly","Smith Dinbergs; Monika Maddock (Illustrator); Macmillan Publishing Company Staff","9781420261417","","http://cdn.bookfish.net.au/covers/9781420261417/small.jpg","48","","""A circus trip inspires Jules and Rosa to try some daredevil feats of their own. But swinging on a trapeze is not as easy as it looks, and Rosas dreams of flying come to a sudden end

","4","12","10","10","12","1","0","0","0","1","0","1","1"
"hvoH575J","Give Peas a Chance","Morris","Gleitzman","9780143302629","","http://cdn.bookfish.net.au/covers/9780143302629/small.jpg","216","","Surprise your mum with a chainsaw, be a bigger star than Tom Cruise, save the world with a plate of veggies, start your new life in a taxi, rescue your family with a tomato, send your dad into a panic with a tractor, do a good deed with a paper bag on your head pack your bags for a trip to the spleen, upset your auntie with ten kilos of chocolate, swap a bomb for three ice-creams on a train . . . and lots more.

","12","12","8","10","10","0","0","1","0","0","0","0","0"
"SreaAQxN","Glittering Giveaways","Emma","Thomson","9780340943960","","http://cdn.bookfish.net.au/covers/9780340943960/small.jpg","96","","Every fairy loves to shop and Felicity is no exception in 'Glittering Giveaways'.

","6","5","10","10","10","0","0","0","1","0","0","0","0"
"1DI896ul","Glitterwing's Book Week Blunder","Sally","Sutton","9781775434238","http://cdn.bookfish.net.au/covers/9781775434238/default.jpg","http://cdn.bookfish.net.au/covers/9781775434238/small.jpg","91","","Sshh... Not for parents! You can keep a secret, right? Clara and I have a herd of tiny, talking, whizzie-whooshy, flying horses... and they're real! Its true. Those naughty Miniwings get us into so much trouble. Who would have thought Book Week could end up such a magical mess!","3","5","15","10","1","0","0","0","1","1","1","0","1"
"ut6QnVHL","Go Girl #3 Going Overboard","Meredith","Badger","9781921288272","","http://cdn.bookfish.net.au/covers/9781921288272/small.jpg","89","","Sophie is loving being part of the Angels, but she's finding it hard to also be herself. Maybe leading the next challenge will show the other girls who she really is ... but what if they don't win?

","7","19","11","9","8","1","0","0","1","1","0","0","1"
"GAoBwsbn","Go Girl! #30 Flower Girl","Chrissie","Perry","9781921502200","","http://cdn.bookfish.net.au/covers/9781921502200/small.jpg","0","","Lola's mum and step-dad are getting married, and Lola gets to be a bridesmaid! But then so does her pesky copycat cousin, who wants to be just like Lola...

","6","20","9","10","4","1","0","0","0","1","0","0","1"
"rgCxLDlI","Golf legends","Felice.","Arena","9780732989538","","http://cdn.bookfish.net.au/covers/9780732989538/small.jpg","48","","Sam and Billy decide to play golf in their local park. They map out their course and get started, but along the way come up against all sorts of obstacles ... including Billys dadDownload cover image

","5","20","7","10","11","1","0","0","0","1","0","1","1"
"yamKZBxy","Gone fishing : Boyz rule!","Felice.","Arena","9780732989521","","http://cdn.bookfish.net.au/covers/9780732989521/small.jpg","48","","Tom and Joey have plenty of fishy tales to tell when they go fishing with Joeys dad to a local fishing spot by the river.Download cover image

","3","17","8","10","11","1","0","0","0","1","0","1","1"
"YlnikXyu","Good Enough For a Sheep Station","David","Cox","9781743319031","","http://cdn.bookfish.net.au/covers/9781743319031/small.jpg","288","","Completing the trilogy that began with _The Road to Goonong_ and continued with _The Fair Dinkum War_, David Cox explores his relationship with his father and his life as a stockman on a sheep station. His warm observations in words and pictures reveal a resilient quintessential Australian spirit.

","5","18","8","10","12","1","0","0","0","0","0","1","1"
"0f1SXwYw","Good Work, Secret Seven","Enid","Blyton","9780340680964","","http://cdn.bookfish.net.au/covers/9780340680964/small.jpg","128","","A car is stolen - and Peter and Janet witness the theft! Now the Seven are on the trail of a dangerous gang. This classic edition of the original Secret Seven adventure is reissued in its original form.

","10","14","11","9","16","0","0","0","1","1","0","0","0"
"436qE61X","Good vs Evil","Louise","Park","9781420293807","","http://cdn.bookfish.net.au/covers/9781420293807/small.jpg","0","","Adelaide Banks has made it into the captains year of the SEAS Space Agent program. Does Second Year Space Captain Star Girl have what it takes to save space - one planet at a time? Planet Molteyser's springs are losing their minerals and the brontoneysers are getting sick. When Space Captains Star Girl, Galactic 6 and Star Cluster are sent to investigate they find there's more than just hot springs letting off steam. Can they keep their cool and save the planet and its alien brontoneysers?","8","9","10","12","13","0","0","0","0","0","0","0","0"
"y6YfaYmO","Goodknyght!","Steve","L. Barlow; Steve Skidmore","000710863X","","http://cdn.bookfish.net.au/covers/000710863X/small.jpg","288","","The Dark Forest is a world. Cities, towns and villages exist like islands in a green sea, while in the Forest itself live hermits, wizards and all manner of weird and wonderful creatures - some invented, some strangely familiar. The story of Will, swineherd and whipping boy to the ghastly Symon, who constantly reminds him of the awful time he's going to have when he accompanies Symon to Knyghtschool. Fate lends a hand, when Will instead finds himself on a quest with the mysterious Rune-master, to recover the lost treasure of the Dark Forest - a quest which is far more dangerous! Comedy fantasy series written for children, with a bit of an edge.

","12","6","8","9","18","0","0","1","0","1","0","0","0"
"7qAWWlre","Goosebumps : scary summer","R. L.","Stine","9780439857826","","http://cdn.bookfish.net.au/covers/9780439857826/small.jpg","144","","Wish that summer would never end?  

 Not THIS Scary Summer!  

 The third GB Graphix collection features acclaimed artists Dean Haspiel, Kyle Baker, and Ted Naifeh.  

   

   

 Three hot, talented comic artists adapt these bestselling Goosebumps books into a cool new graphic format.  

 Someone's creeping through the garden, doing nasty things! Dean Haspiel, a veteran of Batman and Justice League comics, knows just how to portray ""The Revenge of the Lawn Gnomes.""  

 In his comic series like The Bakers and Plastic Man, Kyle Baker proves he's one funny artist, the perfect guy to draw a story about fun and games at camp--until ""The Horror at Camp Jellyjam"" is uncovered.","7","9","12","10","17","0","0","0","1","1","0","0","0"
"p7nfXycu","Goosebumps : terror trips","R. L.","Stine","9780439857802","","http://cdn.bookfish.net.au/covers/9780439857802/small.jpg","144","","Come along for the ride on three Terror Trips from the bestselling Goosebumps series.This second GB Graphix anthology features acclaimed comic artists Jill Thompson, Jamie Tolagson, Amy Kim Ganter.  

   

   

 Take these Terror Trips . . . and hope you return!  

 Three hot, talented comic artists adapt these bestselling Goosebumps books into a cool new graphic novel format.  

   

   

 JILL THOMPSON, the award-winning creator of The Scary Godmother series, brings her quirky humor and madcap illustrations to ""One Day at Horrorland,"" where a family lost in an amusement park finds the rides a little too creepy, a little too real!  

   

   

 JAMIE TOLAGSON, artist on The Crow, The Dreaming, and the Books of Magic series, turns up the juice in ""A Shocker on Shock Street,""","7","9","12","10","17","0","0","0","1","1","0","0","0"
"ymR9uHrD","Gorilla City ","Charlie","Small; Nick Ward","9780307494405","","","144","","No one knows the full story of Charlie Small. His battered journal was found washed up on a remote, windswept shore. And at first we thought it an elaborate hoax. Surely no eight-year-old could have had so many wild adventures, witnessed so many extraordinary things, lived such an incredible life - and still only be eight. And yet... there was something so vivid in the telling, that we were persuaded to send the journal for analysis. The results were absolutely astonishing...","10","6","8","10","17","0","0","0","1","1","0","0","1"
"vrrMmtpr","Grace","Morris","Gleitzman","9780670073900","","http://cdn.bookfish.net.au/covers/9780670073900/small.jpg","186","","In the beginning there was me and Mum and Dad and the twins.And talk about happy families, we were bountiful.But it came to pass that I started doing sins.And lo, that was when all our problems began.

","13","16","11","10","10","0","0","1","0","0","0","0","0"
"Hr1JnkCu","Grace the Glitter Fairy","Daisy.","Meadows","9781843628200","","http://cdn.bookfish.net.au/covers/9781843628200/small.jpg","80","","It's Queen Titania's and King Oberon's 1000th jubilee, and the seven Party Fairies are in charge of making the celebratory party extra-special!  

   

   

 However, naughty Jack Frost has decided to sabotage the celebrations by hosting his own party, and in order to make his bigger and better than the kings and queen's he has sent his naughty goblins to steal each of the seven Party Fairies' magical party bags... if he succeeds the Fairyland celebrations will be ruined!  

   

   

 Can Kirsty and Rachel help Grace the Glitter Fairy to rescue her party bag so that the king and queen's party can be full of magical sparkles and glitter?","8","8","10","10","12","0","0","0","1","1","0","0","1"
"j3lDyV5N","Grand Final!","Michael","Wagner","9781922244826","","http://cdn.bookfish.net.au/covers/9781922244826/small.jpg","64","","Follow Maxx, Rexx and the Stone Valley Saints through a tough (and hilarious) season of soccer mayhem. ...the crowd couldn't take it anymore. They jumped the fence! They surrounded the ref. They grabbed his whistle and threw it onto the ground. A granny pirate stomped on it! A toddler pirate punched it. Grand Finals are different. And the Soccer Knockout Grand Final is as different as it gets. Things go haywire! They go crazy! They go completely insane! And then they go REALLY weird! Can Maxx, Rexx and the Stone Valley Saints overcome the rottenest team in history, or is this where their Grand Final dream gets fed to the sharkies?","4","14","9","10","19","1","0","0","0","1","0","1","1"
"QQDW5cwR","Green fingers","Emily","Rodda","9781862913653","","http://cdn.bookfish.net.au/covers/9781862913653/small.jpg","51","196095818","Sam doesn't know why Mr Green wants to plant things on the dry, brown hill. Nothing will grow there. You'd need to have green fingers!

","4","15","8","10","12","1","1","0","0","1","0","1","1"
"z1bsPVsV","Grizzly trap","Justin.","D'Ath","9780143303718","","http://cdn.bookfish.net.au/covers/9780143303718/small.jpg","152","","THE GRIZZLY ROSE UP ON ITS HIND LEGS AND LET OUT A FEARSOME ROAR, HALFWAY BETWEEN THE BARK OF A DOG AND THE BELLOW OF A BULL.WE WERE DEAD MEAT . . .Sam Fox is on a trip to North America with his cub scout pack when their bus crashes down a canyon. Some of the group are seriously injured, so Sam and two cubs set off to find help.But Sam is thousands of miles from home in the middle of the American wilderness. A wilderness full of howling wolves, and a massive, unpredictable grizzly bear that's following them . . .A wild, action-packed ride, GRIZZLY TRAP is the most ferocious Extreme Adventure yet!Visit puffin.com.au/extreme for more.

","12","20","11","10","20","1","0","1","0","1","0","0","1"
"aXdvpHxs","Gulliver in Lilliput","Lisa","Findlay","9781408305768","","http://cdn.bookfish.net.au/covers/9781408305768/small.jpg","48","","Gulliver loves to travel. But when he is swept overboard from a ship, and finds himself tied up in a land populated by tiny people, he realises some adventures aren't quite as much fun as they should be. Can Gulliver escape the clutches of the tiny Lilliputians?

","8","5","8","8","12","0","0","0","0","1","0","1","0"
"xZMnIsZK","Haggis McGregor and the Night of the Skull Moon","Gus","Gordon (Illustrator); Jen Storer","9780143305248","","http://cdn.bookfish.net.au/covers/9780143305248/small.jpg","96","","Skeletal Haggis McGregor has been dead for hundreds of years, but that doesn't stop him wanting a wife. and while he's looking for her, he and his equally bony ghostly horse have fun rampaging around the little Scottish village of Dunroamin, scaring the inhabitants out of their wits. Lonely, middle-aged Miss McDoogle is certain that Haggis intends her to be his bride, and that prospect doesn't appeal to her at all - even though her supposed great-nephew, wispy little Gordon Cobb, wants her to marry Haggis very much indeed.Will Haggis take Miss McDoogle through the portal into his life beyond the grave? Who really owns the antique handbag Haggis snatches from Miss McDoogle? Will Gordon find a home and a family? All the questions are finally answered in this wonderfully funny and macabre story of a self-obsessed, bony, kilt-wearing Scotsman with a longing for romance.

","5","9","10","10","11","0","0","0","1","0","0","0","0"
"aCpfZ41l","Halt's Peril","John","Flanagan","9781741663020","","http://cdn.bookfish.net.au/covers/9781741663020/small.jpg","448","","Halt, Horace and Will are on the trail of Tennyson and his followers. The false prophet of the Outsider cult escaped justice for his crimes in Clonmel, and Halt is determined to stop him before he crosses the border into Araluen. Will has defeated one of Tennyson's Genovesan assassins in Clonmel - but there are two left alive. Are the extraordinary archery skills of Will and Halt enough to save them during a duel with the Genovesans . . . or is Will's mentor facing his last battle?

","18","5","14","6","18","1","0","1","0","1","1","0","1"
"s7N6aWnZ","Hamish and the Gravityburp","Danny","Wallace","9781471147128","http://cdn.bookfish.net.au/covers/9781471147128/default.jpg","http://cdn.bookfish.net.au/covers/9781471147128/small.jpg","267","","This may look like just a completely and utterly ordinary book, but it's not. This book knows something terrifying: that the people of Earth face their gravest, grimmest threat yet! When Hamish arrives home to find his mum and his brother lying flat on their backs on the ceiling, he knows there's something seriously wrong (again) in the town of Starkley. What is the strange burping noise he keeps hearing? Why are weird seeds suddenly falling from the sky? And should he be worried about the odd woman with a cone around her neck? All Hamish and his gang, the PDF, can be sure of is that an adventure is coming.","10","15","20","10","15","0","0","1","0","1","0","0","1"
"PQq8810c","Handas Surprising Day","Eileen","Browne","9781406302189","","http://cdn.bookfish.net.au/covers/9781406302189/small.jpg","64","","Join the ever popular Handa, a young African girl living in a Kenyan tribe, as she goes about her everyday life, delivering fruits to her village and hunting for her Grandma's black hen with her friend, Akeyo.

","2","15","13","10","10","0","0","0","0","0","0","1","0"
"xPtS4OvL","Hang in There Bozo: The Ruby Redfort Emergency Survival Guide for Some Tricky Predicaments","Lauren","Child","9780007512324","","http://cdn.bookfish.net.au/covers/9780007512324/small.jpg","128","","It's not always possible to skip around smelling roses, 'cos sometimes you're too busy gripping onto the cliff edge by your fingernails. But 99 times out of 100 it's worth hanging in there bozo: just as things can get worse so too can they get a whole lot better. In this handy pocket-sized book, Ruby will give you the lowdown on how to survive a bunch of tricky situations. So long as you keep a cool head, buster, you can make it out of there alive... Praise for Ruby Redfort: ""The new Ruby Redfort book is utterly exceptionordinarily brilliant"" - Clarice Bean ""What more could adventure-loving girls want?"" - The Sunday Times. ""Lauren Child is so good it's exhilarating"" - The Independent","8","12","8","10","12","0","0","0","1","1","0","0","1"
"RVkcOCSv","Hansel and Gretel","Berlie","Doherty (Retold by); Jane Ray (Illustrator)","9781406329780","","http://cdn.bookfish.net.au/covers/9781406329780/small.jpg","28","","This text is an illustrated retelling of the classic fairy tale.

","11","5","20","9","13","0","0","0","0","0","0","1","0"
"oBqdS5iF","Hard Luck","Jeff","Kinney","9780670077694","","http://cdn.bookfish.net.au/covers/9780670077694/small.jpg","228","","Jeff Kinney's 8th book of this hilarious and highly successful series, and Greg Heffley and his friends now have a whole new set of adventures.Greg Heffley's on a losing streak. His best friend, Rowley Jefferson, has ditched him, and finding new friends in middle school is proving to be a tough task. To change his fortunes, Greg decides to take a leap of faith and turn his decisions over to chance. Will a roll of the dice turn things around, or is Greg's life destined to be just another hard-luck story?Readers love the Diary of a Wimpy Kid series.The USA Today, Publishers Weekly, Wall Street Journal, and # 1 New York Times bestsellers:'In the publishing world, Kinney is rock star.'NPR's 'Backseat Book Club''Diary of a Wimpy Kid is bent on world domination.'Time magazine'One of the most successful children's series ever published.'Washington Post'A big hit with reluctant readers and anyone looking for a funny book.'School Library Journal","9","15","4","10","10","1","0","1","0","1","1","0","1"
"i9KkCrMy","Hard Luck","Jeff","Kinney","9780143308089","","http://cdn.bookfish.net.au/covers/9780143308089/small.jpg","224","","Jeff Kinney's 8th book of this hilarious and highly successful series, and Greg Heffley and his friends now have a whole new set of adventures.Greg Heffley's on a losing streak. His best friend, Rowley Jefferson, has ditched him, and finding new friends in middle school is proving to be a tough task. To change his fortunes, Greg decides to take a leap of faith and turn his decisions over to chance. Will a roll of the dice turn things around, or is Greg's life destined to be just another hard-luck story?Readers love the Diary of a Wimpy Kid series.The USA Today, Publishers Weekly, Wall Street Journal, and # 1 New York Times bestsellers:'In the publishing world, Kinney is rock star.'NPR's 'Backseat Book Club''Diary of a Wimpy Kid is bent on world domination.'Time magazine'One of the most successful children's series ever published.'Washington Post'A big hit with reluctant readers and anyone looking for a funny book.'School Library Journal","6","12","2","10","8","0","0","1","0","1","0","0","1"
"xbjPRPFZ","Harriet the Hamster Fairy","Daisy","Meadows","1846161673","","http://cdn.bookfish.net.au/covers/1846161673/small.jpg","80","","Young readers can follow Harriet the Hamster Fairy in this magical adventure.

","8","6","10","10","12","0","0","0","1","1","0","0","1"
"Dnc6en8Y","Harry Potter and the Deathly Hallows","J.","K. Rowling","9780747591054","","http://cdn.bookfish.net.au/covers/9780747591054/small.jpg","1","","'His hand closed automatically around the fake Horcrux, but in spite of everything, in spite of the dark and twisting path he saw stretching ahead for himself, in spite of the final meeting with Voldemort he knew must come, whether in a month, in a year, or in ten, he felt his heart lift at the thought that there was still one last golden day of peace left to enjoy with Ron and Hermione.' With these words Harry Potter and the Half-Blood Prince draws to a close. And here, in this seventh and final book, Harry discovers what fate truly has in store for him as he inexorably makes his way to that final meeting with Voldemort. In this thrilling climax to the phenomenally bestselling series, J.K. Rowling will reveal all to her eagerly waiting readers.

","20","6","11","10","15","0","0","0","0","1","1","1","1"
"mhpoecLA","Harry Potter and the Prisoner of Azkaban","J.","K. Rowling","9780747573760","","http://cdn.bookfish.net.au/covers/9780747573760/small.jpg","1","","Harry Potter is a wizard in his third year at Hogwart's School of Witchcraft and Wizardry. With an escaped mass murderer on the loose, the school is being guarded by the prison guards of Azkaban.

","15","5","10","10","15","0","0","0","0","1","0","1","1"
"dtM1Ky2K","Harry Potter and the Sorcerer's Stone (Book 1)","J. K.","Rowling","9780590353427","","http://cdn.bookfish.net.au/covers/9780590353427/small.jpg","0","","Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School for Wizards and Witches.","13","5","9","10","15","0","0","0","0","1","0","0","1"
