"","","cIfeQ515","t2lzh918","5KTmnC80","8bWxTQTP","MrF79raA","I94q8zpE","vqHfQURj","IEugXXTw","B89","0U9","aMQ","IES","EM3","DYP","r5M","4zB","unU","wfm","nEo","xov","24a"
"ID","Name","Author Firstname","Author Surname","ISBN","Image URL Large","Image URL Thumb","Number of Pages","Soundcloud Track ID","Synopsis","Easy to Read_Challenging","Fantasy_Reality","Funny_Serious","Historical_Futuristic","Less Action_More Action","Australian","Has audio review","Long","Medium","Series","Series lead","Short","VPRC"
"th6AZsqn","A Home for Grace","Sofie","Laguna; Lucia Masciullo (Illustrator)","9780143305316","","http://cdn.bookfish.net.au/covers/9780143305316/small.jpg","132","","It's 1808 and Grace loves caring for baby Alice and working with her mistress, Beth, on the property at Rose Hill. Grave tries so hard to be a good servant - but still her master, Tom, doesn't trust her. Does he blame her for what happened to Glory, who is injured and growing sicker every day? Grace has to do something to help, but who can she turn to? Join Grace in the final of four exciting stories about a convict girl who is given a second chance.","12","20","20","1","7","1","0","0","1","1","0","0","1"
"gGxfmmLV","A King's Ransom","Jude","Watson","9780545298407","","http://cdn.bookfish.net.au/covers/9780545298407/small.jpg","192","","Amy and Dan are in a race for their lives . . . and the enemy may be even closer than they think.  

   

   

 When seven members of their family were kidnapped by a sinister organization known as the Vespers, thirteen-year-old Dan Cahill and his older sister, Amy, vowed they'd stop at nothing to bring the hostages home. But then the ransom comes in and the Vespers demand the impossible. Amy and Dan have just days to track down and steal an ancient map. The only catch? No one has seen the map for half a century.  

   

   

 Now Amy and Dan are on a desperate search that will lead them to the Nazis, spies, a mad king and some of history's dirtiest secrets. It's the race of their lives . . . and one misstep will mean certain death for the hostages.  

","12","10","10","10","16","0","0","1","0","0","0","0","0"
"W2EZH5Lg","A New Beginning #1 (Magic Puppy)","Sue","Bentley","9780141323503","","http://cdn.bookfish.net.au/covers/9780141323503/small.jpg","128","","Bark for joy at the arrival of this grrreat magical new series! A sequel to the bestselling sensation, Magic Kitten. Storm is the only young wolf left from his family in the magic Moon-claw pack after the evil wolf, Shadow, wounds his mother and destroys everyone else. With the rest of the pack now scattered, Storm's mother is too weak to protect Storm so she sends him to our world as a magic puppy where his magical powers can grow. But Storm must find a friend here to help him hide from the evil Shadow. Will Storm be able to hide long enough to eventually return and save his mother and the magical Moon-claw pack? The first title in this brilliant new series that will leave you howling for more!","8","2","16","10","9","0","0","0","1","1","1","0","0"
"JU5I6vs8","A Riddle of Green","Isobelle","Carmody (Illustrator)","9780670040957","","http://cdn.bookfish.net.au/covers/9780670040957/small.jpg","324","","'The words of the deepest foretellings are riddles that want solving.''A riddle,' Little Fur echoed, and the word tasted tricky and complicated on her tongue and in her mind.' Only in understanding the riddle can its solution be found.'All her life, Little Fur has healed others. This time, it is she who needs healing.Only the earth spirit that links all living things can help her, but can she find it in time? Little Fur begins a strange and dangerous journey that will take her far from her beloved wilderness and lead her deep into the secrets of her own past.","12","2","13","10","13","1","0","1","0","1","1","0","1"
"Mq0yPNLD","A Room at Guardian Angel Inn","Comtesse; Smee, Stephanie","de Ségur","9781922052018","","http://cdn.bookfish.net.au/covers/9781922052018/small.jpg","301","","_A Room at Guardian Angel Inn_ opens with two young, lost boys sleeping under a tree next to the side of the road deep in the French countryside. A soldier returning from the Crimean War finds them and brings them to the inn of the title which is run by two generous sisters, one of whom has a bit of cheek in her. Happy to have found a home with a loving family, the boys begin a series of adventures, spurred on by the irascible General Dourakine. A Russian aristocrat and sometime prisoner of war, his stay at the Inn causes mayhem that will delight readers of all ages.","12","8","8","8","15","0","0","1","0","0","0","0","1"
"h5zmtoCp","A Strange Little Monster","Sue","Whiting; Stephen Michael King (Illustrator)","9780143304784","","http://cdn.bookfish.net.au/covers/9780143304784/small.jpg","72","","Sasha is a strange little monster. She doesn't like roaring and rumbling like her parents and her sisters, Hissy and Grissy: she'd much rather play the flute with her granddad. But when she discovers that her mum and dad are worried about her because she's so very different from the others, she makes an effort to roar and rumble with the best of them. Mum and Dad, delighted, enter her in the Hide and Go Scare contest - but it's too much for Sasha. She takes her flute and creeps away. When Hissy and Grissy come looking for her, they come face to face with the creature most feared by monsters: a mountain troll. Roaring and making faces don't scare him off. But Sasha has her flute with her, and quite unexpectedly she finds that trolls have a gentle side too!

","4","10","7","11","11","1","0","0","1","0","0","1","0"
"nJjXNZ3E","A Summer Spell (Magic Kitten)","Sue","Bentley","9780448449982","","http://cdn.bookfish.net.au/covers/9780448449982/small.jpg","256","","Spending a boring summer in the country with her aunt turns exciting for ten-year-old Lisa when she discovers a magic kitten.","6","1","10","9","11","0","0","0","0","1","0","0","0"
"lSwKDL8D","A Tiny Bit Lucky","Liz","Pichon","9781743625347","","http://cdn.bookfish.net.au/covers/9781743625347/small.jpg","256","","From the winner of the Roald Dahl Funny Prize, the Red House Childrens Book Award, the Waterstones Childrens Book Prize and the Blue Peter Best Story Book Award 2013, comes the seventh amazing instalment of the Tom Gates adventures.","7","10","2","10","8","0","0","1","0","1","0","0","1"
"j8tG7KAh","A Very Good Idea","M.C","Badger","9781742976242","","http://cdn.bookfish.net.au/covers/9781742976242/small.jpg","207","","**Liam O'Connor should have died at sea in 1912.**  
 **Maddy Carter should have died on a plane in 2010.**  
 **Sal Vikram should have died in a fire in 2026.**  
 **But all three have been given a second chance - to work for an agency that no one knows exists. Its purpose: to prevent time travel destroying history . . .**

 
 

**The end is approaching for the TimeRiders. In a final effort to prevent time travel destroying history, Liam and Maddy jump forward to 2070 to confront the enigmatic Waldstein and prove once and for all if he is friend or foe. What they discover is more shocking than anyone could have imagined and soon the TimeRiders are on one final mission - back to Biblical times to save the whole of humanity . . .**","8","18","16","12","16","1","0","0","1","1","1","0","1"
"A6MS4tzW","A Very Merry Christmas","Geronimo.","Stilton","9780545021357","","http://cdn.bookfish.net.au/covers/9780545021357/small.jpg","128","","Enter the world of Geronimo Stilton, where another funny adventure is always right around the corner. Each book is a fast-paced adventure with lively art and a unique format kids 7-10 will love.  

   

   

 'Tis the season to be jolly -- and holey cheese was I trying! But on my way to New York City to meet my family for the holidays, my luggage got switched with another mouse's... Oh, rats! Now I had to scurry all over the Big Apple trying to track down that mouse... and all my Christmas presents! And I, Geronimo Stilton, am not a big cheese when it comes to getting around the Big Apple!","9","6","8","10","14","0","0","0","1","1","0","0","1"
"l2obaM5B","A Very Peculiar Plague","Catherine","Jinks","9781743313053","","http://cdn.bookfish.net.au/covers/9781743313053/small.jpg","359","","Eleven-year-old Jem Barbar y has worked as a pickpocket, grocer's boy, street sweeper ... and he is now a bogler's apprentice. Jem's not all that interested in the bogle plague until he stumbles onto the root of a bogle feeding frenzy that will put him in mortal danger.","18","8","12","8","14","1","0","1","0","1","0","0","1"
"0PHcg38U","A-Z of Convicts in Van Diemen's Land","Simon","Barnard","9781922079343","","http://cdn.bookfish.net.au/covers/9781922079343/small.jpg","464","","The iconic song about the Battle of Gallipoli, written by Eric Bogle in 1972 at the height of the anti-war movement, re-imagined by esteemed children's illustrator Bruce Whatley.","15","18","18","3","14","1","0","0","1","0","0","0","1"
"ArnS04Fr","Abigail","Rachel","Elliot","9780733328961","","http://cdn.bookfish.net.au/covers/9780733328961/small.jpg","128","","'I'm here to dance. The rest of you can play happy families.' Abigail has been dancing forever and is the best student in the class. It's not a title she's going to give up easily. Startlingly beautiful, she learnt long ago how to use her charisma to manipulate others. When Abigail wants something she can make you feel as if you're the whole world... and when she's got what she wanted she can end the privilege just as quickly. This year Abigail's body is changing and she regards it as a terrible betrayal. Suddenly, it's no longer so easy to be the thinnest or the best and Abigail pushes herself to work harder than anyone.She is a naturally gifted dancer but knows she's not perfect. Abigail isn't a horrible person but she believes ballet is everything and she will do whatever it takes, even if means stepping over every friend she's got in the process. Besides, on the rare occasion she tries to let other people in, it never works out the way she planned. And so Abigail figures since everyone already thinks she's a bitch, she may as well be the biggest bitch she can be. But when things get tough, is loneliness too high a price to pay for reaching the top? This year, bit by bit, Abigail learns the value in friendship.","12","18","15","10","9","1","0","0","1","1","1","0","0"
"DVQe5bd8","Accidentally Fabulous (Candy Apple)","Lisa","Papademetriou","9780545046671","","http://cdn.bookfish.net.au/covers/9780545046671/small.jpg","0","","Amy Flowers is starting seventh grade at a new school, the exclusive Allington Academy, but in order to fit in, she has to get on the right side of the League, the clique that controls the school, and its mean leader, Fiona.","10","12","10","10","10","0","0","0","0","0","0","0","0"
"DsaPnwzZ","Addy and the Pirates","Emily","Rodda; Andrew McLean (Illustrator)","1876288566","","http://cdn.bookfish.net.au/covers/1876288566/small.jpg","64","","There's buried treasure on Dead Mouse Island! Addy has seen a map to prove it. Little does she know what dangers await her there.

","6","10","10","10","10","0","0","0","0","0","0","1","0"
"s2F4Bqvq","After","Morris","Gleitzman","9780670075447","","http://cdn.bookfish.net.au/covers/9780670075447/small.jpg","224","","After the Nazis took my parents I was scared. After they killed my best friend I was angry. After they ruined my thirteenth birthday I was determined to get to the forest to join forces with Gabriek and Yuli to be a family, to defeat the Nazis after all.","15","17","15","3","15","1","0","1","0","1","0","0","0"
"xAe3tyUZ","Air","Mac","Park","9781921931086","","http://cdn.bookfish.net.au/covers/9781921931086/small.jpg","80","","Everything you need to know about beast battling in the air. Discover what you should take, what to look out for and how to battle beasts and win. The battles with the beasts of Beastium continue. The BMC needs its Border Guards to be better prepared than ever. The Battle Files give Border Guards and young tips from the world and battles of Boy vs Beast.

","6","4","15","10","20","1","0","0","1","1","0","0","0"
"ve3esEmm","Aladdin","Berlie","Doherty (Retold by); Jane Ray (Illustrator)","9781406329759","","http://cdn.bookfish.net.au/covers/9781406329759/small.jpg","32","","'Aladdin' is one of the best-loved fairy tales of all time. Retold by Berlie Doherty, this enchanting story is illustrated by Jane Ray.

","8","2","12","7","12","0","0","0","0","1","1","1","0"
"vVgoQKzd","Alesha the Acrobat Fairy (Rainbow Magic: Showtime Fairies)","Daisy","Meadows","9781408312889","","http://cdn.bookfish.net.au/covers/9781408312889/small.jpg","80","","Without Alesha the Acrobat Fairy's magic star, Tippington School's audition for the variety show will be disastrous! The naughty goblins have decided that they want to be the stars of the show, so the girls must stop them from causing trouble high up in the air!

","8","5","10","10","13","0","0","0","1","1","0","0","1"
"bXegxPho","Alexa the Fashion Reporter Fairy","Daisy.","Meadows","9781408316771","","http://cdn.bookfish.net.au/covers/9781408316771/small.jpg","80","","Kirsty and Rachel are excited to be entering a charity fashion show where children get to show off their own designs. Unfortunately, Jack Frost thinks everyone in the world should dress like him, and steals the Fashion Fairies' seven magical items to put his naughty plan into action!  

   

   

 The fashion reporter from the Tippington Times is having a terrible day - she muddles up her words, forgets her notepad and generally gets in a fluster. Can Kirsty and Rachel help her out?

","8","5","10","10","14","0","0","0","1","1","0","0","0"
"f6k46Ftp","Alice Miranda 12: Alice-Miranda in the Alps","Jacqueline ","Harvey","9780857982742","http://cdn.bookfish.net.au/covers/9780857982742/default.jpg","http://cdn.bookfish.net.au/covers/9780857982742/small.jpg","361","","Snowy escapades in stunning Switzerland! Alice-Miranda and her friends are off to Switzerland to ski, sightsee and experience the unique White Turf racing event. St Moritz is as glamourous as they expected and their hotel is beyond belief - as are its owners, the overly friendly Otto Fanger and his frosty wife, Delphine Doerflinger.","10","20","15","10","5","1","0","1","0","1","0","0","1"
